Title ID	Region	Name	PKG direct link
PCSB00353	EU	Batman: Arkham Origins Blackgate	http://zeus.dl.playstation.net/cdn/EP1018/PCSB00353_00/wZSXCjzkeWNgjtmqoNYkOdcdCaNlNDGhGwByQPbULRmRxlVlmrNbDXgyTwQRxoHW.pkg
PCSB00359	EU	Spelunky	http://zeus.dl.playstation.net/cdn/EP4407/PCSB00359_00/wXpVTLWIpyXQclkzqQSjFdwreyveLHVSgEZzziXkwjIgEcpxRgnMCpZthlWjgAWo.pkg
PCSB00361	EU	Lone Survivor: The Director's Cut	http://zeus.dl.playstation.net/cdn/EP4395/PCSB00361_00/XrSdjEAwZwYHvqOVeCkrlfLfhLDaPGvAtsYdmgJHsEOqnLaSGCgPjXqeiPcWqygj.pkg
PCSB00394	EU	Final Fantasy X-2 HD Remaster	http://zeus.dl.playstation.net/cdn/EP0082/PCSB00394_00/qhOLakgLgyWmwGoYCWalSdDzGeNnaTLeZvyzImWumJHcNoaNUODOHyEUFDosARxB.pkg
PCSB00404	EU	Muramasa Rebirth	http://zeus.dl.playstation.net/cdn/EP1024/PCSB00404_00/tHdESKkLQUyRPbnnbcLrHBeSJoJuEeOORhntkASuzTqXRnjsyFwrAEFssCpNKJab.pkg
PCSB00408	EU	Dragon's Crown	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00408_00/MrJHxyztCfESmTIdDJnyuhFpgWSuBKsoZdEGCgezlaSZZGAUFEUyMKXCpEmJFTJS.pkg
PCSB00437	EU	Duke Nukem 3D: Megaton Edition	http://zeus.dl.playstation.net/cdn/EP3643/PCSB00437_00/azhVovzgCZWqkOwlIEONHIfwnuHpAVklAdUPxHEHXuoHKUXDexggRBHPvvpfgjiw.pkg
PCSB00456	EU	FEZ	http://zeus.dl.playstation.net/cdn/EP4427/PCSB00456_00/VXXbucZUPtJWAofoFjHgUOZlsfijPgPsuOADtfppUtyVNPAtpAadOElIgtYzGwYD.pkg
PCSB00514	EU	Danganronpa 2: Goodbye Despair	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00514_00/RnPZTTIDKYoQOzURASJhMhyDRxTscAXuttuEjkxUSeRvefLrNsSKujuLbUcUZmxq.pkg
PCSB00548	EU	PixelJunk Shooter Ultimate	http://zeus.dl.playstation.net/cdn/EP4415/PCSB00548_00/juMFrfCdxgpGxaITrdWmcadUelsLosoCtvtpHMSRNTUCwdgdpcIOdIPCRIZlxxIM.pkg
PCSB00550	EU	Tales of Hearts R	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00550_00/SvHlRpWkgomksmvGvPwOujFCOKNYuMcixsQdhzQMzKGkptGMyoAdivYrusUnWzdO.pkg
PCSB00579	EU	"Hyperdimension Neptunia Re;Birth1"	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00579_00/SVXYotxpijFYRkKBJIHrTbzXujTjDlvQCbnFzMqhKGaNiaDghOyLqKtKheuucvoC.pkg
PCSB00618	EU	Sword Art Online -Hollow Fragment-	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00618_00/MxrdjiPJOqRuxmOCLnJMWodlzwMyrjPneJdGvZVwIJKpAkbaYGELIfrgIQiYWwTQ.pkg
PCSB00626	EU	"Hyperdimension Neptunia Re;Birth2"	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00626_00/VwKIVwdhwkVRuZnIPzBuDBBLfMungRHbplWCtqRQgpTwJVVtDUNLAUsFkaruyudV.pkg
PCSB00640	EU	Akiba's Trip: Undead & Undressed	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00640_00/iaQyDptxiDcxwdTRlbeHFJfeYisvgkuqtVyMwdpJXGEByXoNcgqRHowMUooWibbN.pkg
PCSB00676	EU	The Binding Of Isaac: Rebirth	http://zeus.dl.playstation.net/cdn/EP2103/PCSB00676_00/icAYSaTaScCSRZYrtPQhpBqWocEWRrdWOGMzBTHKfLmnUsCQDeFezSmAJYqYuTOD.pkg
PCSB00694	EU	La-Mulana EX	http://zeus.dl.playstation.net/cdn/EP4034/PCSB00694_00/EP4034-PCSB00694_00-G000000000000627_bg_1_60d558c1756e4bff54574ae2b81c5ca377800048.pkg
PCSB00722	EU	Teslagrad	http://zeus.dl.playstation.net/cdn/EP4513/PCSB00722_00/EP4513-PCSB00722_00-TESLAGRAD0000001_bg_2_c9177d275f2c85d8eb8f36a4eca99e7a6c43db1d.pkg
PCSB00724	EU	"Steins;Gate"	http://zeus.dl.playstation.net/cdn/EP4293/PCSB00724_00/EP4293-PCSB00724_00-STEINSGATE00000E_bg_1_d3ce0b851e3af64930b66cef9919ba64344069e6.pkg
PCSB00740	EU	Amnesia: Memories	http://zeus.dl.playstation.net/cdn/EP0031/PCSB00740_00/EP0031-PCSB00740_00-AMNESIAMEMORIES1_bg_1_7f062ef17d810c7795163b975adae77ba0577b4b.pkg
PCSB00742	EU	XCOM: Enemy Unknown Plus	http://zeus.dl.playstation.net/cdn/EP1001/PCSB00742_00/EP1001-PCSB00742_00-XCOMENEMYUNKPLUS_bg_1_a4f90dccb6c90f75fc7cd45d1e8cd8f856cdec88.pkg
PCSB00747	EU	Day of the Tentacle Remastered	http://zeus.dl.playstation.net/cdn/EP2154/PCSB00747_00/EP2154-PCSB00747_00-DAYOFTHETENTACLE_bg_1_3ea8dcc8ac718f84df583bcff3ac58925b7d357e.pkg
PCSB00779	EU	Axiom Verge	http://zeus.dl.playstation.net/cdn/EP0850/PCSB00779_00/EP0850-PCSB00779_00-AXIOMVERGE000000_bg_1_de788236d479ef1856369b4fc5870b918f2150f8.pkg
PCSB00788	EU	Danganronpa Another Episode: Ultra Despair Girls	http://zeus.dl.playstation.net/cdn/EP1063/PCSB00788_00/EP1063-PCSB00788_00-DESPAIRGIRLSEU01_bg_1_22b787ecbe650dbf56f0bec7c83c4454533b67e4.pkg
PCSB00822	EU	Corpse Party: Blood Drive	http://zeus.dl.playstation.net/cdn/EP4492/PCSB00822_00/EP4492-PCSB00822_00-CPVOL4BLOODDRIVE_bg_1_3d54f1809127fde2f2b0bfe0cdeb16e3fbe00333.pkg
PCSB00874	EU	God Eater Ressurection	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00874_00/EP0700-PCSB00874_00-DOWNLOADABLEGAME_bg_1_f75ad7d9fd7592bc97bf6dbba62b57fe81ce8b9f.pkg
PCSB00875	EU	God Eater 2 Rage Burst	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00875_00/EP0700-PCSB00875_00-DOWNLOADABLEGAME_bg_1_6ca6560990233c7580b3fb6341c2722cce74b49c.pkg
PCSB00910	EU	Neon Chrome (3.60+!)	http://zeus.dl.playstation.net/cdn/EP4403/PCSB00910_00/EP4403-PCSB00910_00-NEONCHROME000000_bg_1_3f1b803435271b7f9743aa2502d941db592f4046.pkg
PCSB00935	EU	Risk of Rain	http://zeus.dl.playstation.net/cdn/EP0338/PCSB00935_00/EP0338-PCSB00935_00-RISKOFRAIN000000_bg_1_4e2a64fb8ac4fb3f57453f7df9eecaf7f5a18dc3.pkg
PCSB00951	EU	World of Final Fantasy	http://zeus.dl.playstation.net/cdn/EP0082/PCSB00951_00/EP0082-PCSB00951_00-WORLDOFFFPSVITA0_bg_1_27a3e22b59ca5b9bb4496c2608542be006002a6f.pkg
PCSB00952	EU	Downwell	http://zeus.dl.playstation.net/cdn/EP3643/PCSB00952_00/EP3643-PCSB00952_00-DOWNWELLEUPV0001_bg_1_c4951e71f988f492cdb52b8fae9514c6f7818012.pkg
PCSF00338	EU	The Sly Trilogy	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00338_00/TlrCgRbcfIRujPxdmHTCFXBhBtNVujVsbswRqhsOQtqSfaedxlElJaIgiWvbkFUW.pkg
PCSF00532	EU	Soul Sacrifice Delta	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00532_00/KYpGuCIBbGvjbeEEXnyxltFDWUHGnrtowUseIwtsUMTApXfRRrvOEEdUzheyfXMF.pkg
PCSB00861	EU	Digimon Story Cyber Sleuth	http://zeus.dl.playstation.net/cdn/EP0700/PCSB00861_00/EP0700-PCSB00861_00-DSCYBERSLEUTH001_bg_1_fe4f5939959b5419463adad1305a52fd28f2b463.pkg
PCSE00085	US	Zero Escape: Virtue's Last Reward	http://zeus.dl.playstation.net/cdn/UP1024/PCSE00085_00/SKoAviXZPyARzcYfpaXDbizjYcDRVCCRpBTeCYQPVjrJtiWomOtImRHzjmEIYhPu.pkg
PCSE00428	US	Akiba's Trip: Undead & Undressed	http://zeus.dl.playstation.net/cdn/UP1023/PCSE00428_00/pAGZLDgJRXBpEgrrSmYNqOgQkvOOJbTOMtfNkmQKgKziSywEKQdOzXtbpUAtIDlW.pkg
PCSE00235	EU	Dead or Alive 5 Plus	http://ares.dl.playstation.net/cdn/UP4108/PCSE00235_00/GmeNDsdSsKQIfFEDNxbDElVxTmzCxrhhTVYLtxqSUFzNQOVwjyPICSAOPzvRwOhI.pkg
PCSF00349	EU	Flower	http://ares.dl.playstation.net/cdn/EP9000/PCSF00349_00/efbKuthwsZWcEgNUGtWWUuVmCFSteLHLPwSwOjPJtjQxzjnylpIUkPOEezkSWHuI.pkg
PCSG00351	JP	Phantasy Star Nova	http://zeus.dl.playstation.net/cdn/JP0177/PCSG00351_00/JSvfiwunXmyyhriUILTtRbXdLssLCRWFstWAguVswaESSjeRYWIyyaItYOYSdCNTbxGhbPlAXueVrbtFtsarGuCwZrfCVgMKJEutr.pkg
PCSE00471	US	Senran Kagura Bon Appetit!	http://zeus.dl.playstation.net/cdn/UP1023/PCSE00471_00/SONCbbEODygBXUfyVYMxkQRrLpOezWnpyfXqmthOwngJrqEabdpDpMDSflWeYSYc.pkg
PCSE00516	US	Criminal Girls: Invite Only	http://zeus.dl.playstation.net/cdn/UP1063/PCSE00516_00/UP1063-PCSE00516_00-0001000000000000_bg_1_9193fe17a8c501e6b6409af2e2d959a556e00aaa.pkg
PCSE00269	US	Batman: Arkham Origins Blackgate	http://zeus.dl.playstation.net/cdn/UP1018/PCSE00269_00/GCORuidZXMRjalwKeSJsjTVHvsWCkvFndwQoVaknkpOMtdhsVEEtFscoiQwPSxYB.pkg
PCSE00480	US	Child of Light	http://ares.dl.playstation.net/cdn/UP0001/PCSE00480_00/uRfuwBFbfkRuiMZboyljLgZetqHaSbQKYOfGqFvphRpuPpaKNaBKhePLhTuPhAGX.pkg
PCSA00153	US	Murasaki Baby	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00153_00/zZNKMtJEMUPJjRKScObwZXWghUumOLOFPThyvyJpzVdreNxgjbfMdGYIdAzGVGqF.pkg
PCSE00817	US	Ninja Senki DX	http://zeus.dl.playstation.net/cdn/UP2114/PCSE00817_00/UP2114-PCSE00817_00-SHURIKENMASTERDX_bg_1_ee95ed16aba4d689123769c1b49158d6d66e05c5.pkg
PCSE00021	US	Ninja Gaiden Sigma Plus	http://zeus.dl.playstation.net/cdn/UP4108/PCSE00021_00/lBIcXMVPMAnNGUwYHfVTCDPtoFyCBUctfNcBiTYnZJzHDsxNaSeSAXzXyAArVThFYIvfttIdiSaGhdtPMnbUFyOrxnfFDwmzIKmfi.pkg
PCSE00567	US	La-Mulana EX	http://zeus.dl.playstation.net/cdn/UP4034/PCSE00567_00/UP4034-PCSE00567_00-LAMULANAEX000000_bg_1_cf10a8cc606961e73204b3ae5b7d09eaaca72402.pkg
PCSE00584	US	Atelier Ayesha Plus ~The Alchemist of Dusk~	http://zeus.dl.playstation.net/cdn/UP4108/PCSE00584_00/puhUiShbPVobDTasRxlUIrhljXeNREVknxLrDkwVPmhltIAKdYojkhNObTdkIdDtBpesfYsXYNzgAbnueDylmvAldqMANqPNqPfLV.pkg
PCSB00772	EU	Metal Slug 3	http://zeus.dl.playstation.net/cdn/EP0576/PCSB00772_00/EP0576-PCSB00772_00-METALSLUG3000000_bg_1_1b8cd2baa4d6d56f9d65538c10d9d39f58867801.pkg
PCSE00293	US	Final Fantasy X HD Remaster	http://zeus.dl.playstation.net/cdn/UP0082/PCSE00293_00/DLizuRFVbQBIvlPnLAXpaFJoXmiqJuuaoisMEncnZPWcwHfmVcDzGsAVrdPuafbV.pkg
PCSE00120	US	Persona 4 Golden	http://zeus.dl.playstation.net/cdn/UP0005/PCSE00120_00/QJBXcGiXfvBUkibcZJhSAiFOHPnTqWbqwlzfbwWkKkERimRnofIdsJEmLkxsMEJP.pkg
PCSE00300	US	Ragnarok Odyssey ACE	http://zeus.dl.playstation.net/cdn/UP1023/PCSE00300_00/oXLOfaloSiemqioOGPLjSyTxyUTLewLreHyBpDVXwvttrxWCXGhXCMjYtFXukkvI.pkg
PCSF00485	EU	Ratchet and Clank 2	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00485_00/xkdovUEMhgeYlIFrEdCYZSZjhtAnYuKTmqSfcGKAGXNZRkiTHlQaAkqUiTiPpCGm.pkg
PCSF00484	EU	Ratchet and Clank	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00484_00/LEtBInUbSIEpZQOUPpPOmceVeJeyoXUVhPoLYgPlEeWNKFUhnyKQUWquJtTzSOXj.pkg
PCSF00486	EU	Ratchet and Clank 3	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00486_00/SkbmJzuJKjWmKBNuuwjQqhrewlIJIBAlHMnAmwoLXhLqCSXYIhZajFLSfxSVsDWR.pkg
PCSB00089	EU	Dynasty Warriors NEXT	http://zeus.dl.playstation.net/cdn/EP4108/PCSB00089_00/wZLAdhMXzcqZnyrhnIwyVduuykQOhRSMpedGnDlwtPrSEicvAAFoIvmRZLbixqDN.pkg
PCSB00332	EU	Worms Revolution Extreme	http://zeus.dl.playstation.net/cdn/EP4064/PCSB00332_00/xrAAANCNfmIHLOCCkpYAPdFbnPlWvKSauhKGYwqcrmllggZHdsutPJygKnITCbjE.pkg
PCSB00333	EU	Farming Simulator	http://zeus.dl.playstation.net/cdn/EP4399/PCSB00333_00/PsYwxruOpJaALYgbFxGCJENPJNNWserbBpkAlZnwUdlhUWZNBAXMyKpzyJjkPGRw.pkg
PCSH00043	KO/CN	Final Fantasy X-2 HD Remaster	http://zeus.dl.playstation.net/cdn/HP0082/PCSH00043_00/ZnIENVgaGCVeXcWgTrziWsOolFUEwheLiuiHuIfbYyMcMFtpUGFzHQJUfalmpIClUQCVInrZwtbDHxJeWYgVSvLXZtsaUtAbeZerE.pkg
PCSH00042	KO/CN	Final Fantasy X HD Remaster	http://zeus.dl.playstation.net/cdn/HP0082/PCSH00042_00/iEHVLZwAupGqSxvBZcaYTJBkCgczIQDyLyCsVjRjFXfBJoeUnnVBxLKtxpbcyIwhMHwKgIViryCIBcWNEeYXXnBjPkwYChldVakoP.pkg
PCSI00009	??	PSM Unity DEV	http://ares.dl.playstation.net/cdn/IP9100/PCSI00009_00/xpGROqtCTKXciWMDdIpjQitbvfHVsIzCudVbyecimKmBYLJDcuXNHfmIJODCahGsdNPakftJbMdMuVnbJrgRQxAybDeNTdpzMYrrU.pkg
PCSB00183	EU	Need for Speed: Most Wanted	http://zeus.dl.playstation.net/cdn/EP0006/PCSB00183_00/XEFaAutdiMpokzLvDtOHpwbqpobsZPcDFmiFIuVJodsgFmnWdaDrWMzzEaIrwCUC.pkg
PCSF00007	EU	Wipeout 2048	http://zeus.dl.playstation.net/cdn/EP9000/PCSF00007_00/MWZsKcgmoiFnkNIlYeMsyGsPqZBwBiNdYNvzGMaSOvPyclboJlKbVlAPPqFkeWXm.pkg
PCSB00205	EU	Zero Escape: Virtue's Last Reward	http://zeus.dl.playstation.net/cdn/EP4034/PCSB00205_00/DlgPWkzSdFcdtsxjWDMOILhJLJIXeLTJrEToigdFGXrDdVMOXDYcyblOEAhXUYDV.pkg
PCSD00071	JP	Killzone: Mercenary	http://zeus.dl.playstation.net/cdn/HP9000/PCSD00071_00/GOHZJsUuRChxRektGbwvaNBocdKnjsCQDIvhHyqAUYbFYirIGHWibMBXqadVsRsDGYCGRLrcWgCPiRdEUqvMbcQiGORgIgXWSaiAR.pkg
PCSB00025	EU	Puddle	http://zeus.dl.playstation.net/cdn/EP4115/PCSB00025_00/KISTLiBBfAvvpOkxJnjYNFyAsdDkaqocWApcXimnvNzpXVsomvBjuWjuMeqWqFNi.pkg
PCSB00037	EU	StarDrone Extreme	http://ares.dl.playstation.net/cdn/EP4101/PCSB00037_00/LLTnMqwFcAMmEbhUPmXIOSibFYsayGXBYMauHURwERywutMyaYoGrcqdZPGZfPBb.pkg
